ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF
239818,86,Rúben Dias,M,86,59,39,69,69,86
211110,87,Paulo Dybala,M,86,80,85,84,87,41
247851,88,Bruno Guimarães,M,86,66,75,84,84,79
256196,90,Willian Pacho,M,86,80,34,62,62,86
237678,92,Ibrahima Konaté,M,86,77,34,63,69,86
208128,93,Hakan Çalhanoğlu,M,86,71,81,87,82,81
158023,95,Lionel Messi,M,86,78,85,85,90,33
241096,96,Sandro Tonali,M,86,79,74,82,80,81
256516,97,Nico Williams,M,86,93,76,80,87,36
240638,100,Tijjani Reijnders,M,86,79,79,82,85,77
192448,101,Marc-André ter Stegen,M,86,84,84,89,85,47
235073,103,Gregor Kobel,M,86,87,83,64,87,44
210257,104,Ederson,M,85,83,82,91,83,64
226268,107,Federico Dimarco,M,85,80,78,84,82,79
237238,108,Scott McTominay,M,85,76,82,77,80,80
246104,109,Ryan Gravenberch,M,85,76,76,81,85,81
202811,113,Emiliano Martínez,M,85,83,82,82,85,56
272834,116,João Neves,M,85,74,69,80,84,82
194765,117,Antoine Griezmann,M,85,77,86,85,88,59
243014,121,Bryan Mbeumo,M,85,88,84,79,84,49
215914,122,N'Golo Kanté,M,85,77,65,73,80,85
271421,123,Désiré Doué,M,85,83,80,77,90,55
204963,124,Carvajal,M,85,80,58,79,81,81
230869,125,Unai Simón,M,85,84,80,76,85,49
228093,127,Marcus Thuram,M,85,86,83,76,82,50
185122,129,Péter Gulácsi,M,85,83,83,74,84,43
241084,132,Luis Díaz,M,85,88,81,76,87,45
193080,133,De Gea,M,85,85,78,71,87,46
247819,134,Nico Schlotterbeck,M,85,74,60,75,73,85
200104,136,Heung Min Son,M,85,84,84,81,83,42
237692,137,Phil Foden,M,85,81,81,82,89,57
226271,138,Fabián Ruiz,M,85,61,77,80,81,75
216393,139,Youri Tielemans,M,85,54,79,85,80,75
199503,144,Granit Xhaka,M,85,47,75,85,74,78
165153,146,Karim Benzema,M,85,75,84,81,83,38
204525,150,Iñigo Martínez,M,85,71,57,72,68,85
20801,151,Cristiano Ronaldo,M,85,76,88,76,80,34
243812,152,Rodrygo,M,85,88,80,79,87,31
244260,153,Dani Olmo,M,85,73,79,83,87,50
229558,154,Dayot Upamecano,M,85,77,45,64,73,84
234236,156,Patrik Schick,M,85,72,83,71,81,38
239580,157,Bremer,M,85,82,50,58,66,86
232656,161,Theo Hernández,M,84,90,76,78,83,79
226161,162,Marcos Llorente,M,84,89,79,78,81,78
212616,164,Rodrigo De Paul,M,84,75,78,83,83,76
210514,165,João Cancelo,M,84,83,73,84,84,78
244675,166,Sancet,M,84,76,83,80,85,70
234396,170,Alphonso Davies,M,84,94,66,78,85,74
204935,173,Jordan Pickford,M,84,84,78,88,87,53
233096,174,Denzel Dumfries,M,84,84,70,75,79,79
223848,175,Sergej Milinković-Savić,M,84,62,80,81,81,78
251517,177,Joško Gvardiol,M,84,78,71,75,78,84
241637,182,Aurélien Tchouaméni,M,84,71,69,79,78,81
239231,185,Marc Cucurella,M,84,75,64,79,80,82
210035,190,Grimaldo,M,84,72,73,87,85,74
226851,191,Benjamin Pavard,M,84,75,67,76,75,86
247090,193,Enzo Fernández,M,84,68,75,85,81,73
186153,194,Wojciech Szczęsny,M,84,82,83,75,84,48
257279,196,Álex Baena,M,84,79,76,84,82,65
220502,197,Mattia Zaccagni,M,84,88,78,77,87,57
262621,198,Giorgi Mamardashvili,M,84,84,81,72,84,48
231521,199,Exequiel Palacios,M,84,62,76,80,82,81
245367,201,Xavi Simons,M,84,77,77,80,87,61
167495,203,Manuel Neuer,M,84,81,81,90,81,31
224293,206,Rúben Neves,M,84,57,75,87,77,77
242516,207,Cody Gakpo,M,84,83,82,80,83,47
218667,208,Bernardo Silva,M,84,61,78,83,89,71
222077,209,Manuel Locatelli,M,84,63,69,80,76,81
227796,210,Christian Pulisic,M,84,88,82,80,86,46
234577,211,Diogo Costa,M,84,83,78,82,86,35
221697,213,Ollie Watkins,M,84,77,83,73,80,50
220697,214,James Maddison,M,84,67,81,86,85,58
252154,215,Marco Carnesecchi,M,84,86,83,71,86,30
256675,216,Omar Marmoush,M,84,89,85,76,86,34
241721,217,Rafael Leão,M,84,93,78,80,86,28
240130,218,Éder Militão,M,84,82,50,69,71,85
192505,219,Romelu Lukaku,M,84,79,82,75,75,41
197781,220,Isco,M,84,66,79,85,85,59
264652,221,Bradley Barcola,M,84,90,77,78,84,39
241852,222,Moussa Diaby,M,84,95,75,77,87,44
248550,223,Vivian,M,84,79,50,63,72,84
230899,224,Ademola Lookman,M,84,86,84,73,88,32
204485,225,Riyad Mahrez,M,84,78,80,81,88,39
216549,226,Alexander Sørloth,M,84,77,82,71,76,36
199845,231,Francesco Acerbi,M,84,57,50,65,65,87
198176,232,Stefan de Vrij,M,84,62,41,68,69,86
204638,233,Willi Orban,M,84,57,40,56,56,86
210008,234,Adrien Rabiot,M,83,81,79,81,80,77
248243,235,Eduardo Camavinga,M,83,80,68,81,84,78
236772,236,Dominik Szoboszlai,M,83,79,82,84,82,67
192883,237,Henrikh Mkhitaryan,M,83,77,78,82,83,72
223959,238,Lucas Torreira,M,83,76,72,78,81,81
217870,241,Giovanni Di Lorenzo,M,83,84,72,73,77,79
244669,242,Morten Hjulmand,M,83,70,76,78,77,80
247394,243,Dejan Kulusevski,M,83,74,79,84,85,62
225193,245,Mikel Merino,M,83,63,79,80,80,81
215590,248,Ayoze,M,83,86,83,80,83,59
216201,249,Iñaki Williams,M,83,94,81,74,80,45
240950,250,Pedro Gonçalves,M,83,77,82,83,84,63
259532,254,Joan García,M,83,81,82,77,86,46
227127,256,Álex Remiro,M,83,83,78,80,84,45
247103,258,Dávid Hancko,M,83,77,66,73,74,82
242964,261,Anthony Gordon,M,83,91,79,78,83,50
251752,262,Lucas Chevalier,M,83,84,79,73,86,50
207410,264,Mateo Kovačić,M,83,67,74,81,83,73
228813,265,Aleix García,M,83,65,75,85,84,75
209989,266,Thomas Partey,M,83,59,71,80,77,80
216435,267,Stanislav Lobotka,M,83,71,69,80,82,76
253149,269,Jeremie Frimpong,M,83,94,62,74,84,72
177003,273,Luka Modrić,M,83,68,74,86,86,70
208722,274,Sadio Mané,M,83,82,81,78,85,44
193698,275,Oliver Baumann,M,83,83,81,78,83,39
240243,276,Matheus Cunha,M,83,77,85,79,84,44
248148,277,Zubimendi,M,83,66,67,79,79,80
199641,278,Matz Sels,M,83,82,80,79,83,36
264240,279,Gavi,M,83,76,66,78,85,68
235794,280,Eberechi Eze,M,83,74,80,81,87,50
263578,281,Balde,M,83,91,50,75,79,78
186942,282,İlkay Gündoğan,M,83,54,79,83,80,74
243580,283,Loïs Openda,M,83,95,81,69,81,31
229391,284,Palhinha,M,83,56,68,70,72,84
212194,285,Julian Brandt,M,83,74,78,83,84,44
224371,286,Jarrod Bowen,M,83,76,81,78,82,46
278016,288,Murillo,M,83,80,48,67,71,83
236987,290,Boubacar Kamara,M,83,64,55,74,75,83
208920,291,Nathan Aké,M,83,72,53,72,75,84
241461,292,Ferran Torres,M,83,83,81,79,83,35
250959,293,Angelo Stiller,M,83,56,58,83,84,76
256197,294,Piero Hincapié,M,83,84,41,65,72,84
242458,295,Artem Dovbyk,M,83,83,84,68,78,34
257289,297,Hugo Ekitiké,M,83,86,78,69,85,33
192629,298,Iago Aspas,M,83,77,84,80,84,35
236610,299,Moise Kean,M,83,86,82,58,81,40
253163,300,Ronald Araujo,M,83,80,53,63,61,81
213345,301,Kingsley Coman,M,83,87,75,79,87,30
207421,304,Leandro Trossard,M,83,80,81,80,85,30
231936,305,Benjamin White,M,83,70,35,75,75,83
241850,306,Mateo Retegui,M,83,72,83,67,78,37
216460,308,José María Giménez,M,83,73,46,60,62,85
229582,309,Gianluca Mancini,M,83,70,50,57,64,85
244263,310,Amir Rrahmani,M,83,69,51,60,63,84
238095,312,Nikola Milenković,M,83,57,46,63,62,84
233486,313,Robin Le Normand,M,83,65,28,59,63,84
209658,315,Leon Goretzka,M,82,77,78,80,80,80
223334,316,Joelinton,M,82,74,73,77,81,82
246863,320,Felix Nmecha,M,82,82,74,73,81,80
227236,323,André-Franck Zambo Anguissa,M,82,75,75,75,79,79
266866,324,Éderson,M,82,78,72,77,80,80
208333,325,Emre Can,M,82,77,76,72,74,82
243245,327,Orkun Kökçü,M,82,72,80,84,80,70
243576,328,Pedro Porro,M,82,78,73,81,80,77
229261,330,Denis Zakaria,M,82,80,67,74,77,80
260247,332,Morgan Rogers,M,82,77,77,79,84,67
230872,334,Mile Svilar,M,82,80,80,77,85,58
256853,335,Malik Tillman,M,82,84,76,77,83,65
210411,336,Otávio,M,82,78,71,82,85,70
210602,339,Salem Al Dawsari,M,82,87,75,75,84,57
225375,340,Konrad Laimer,M,82,82,69,76,75,81
236496,341,Mattéo Guendouzi,M,82,72,73,80,80,77
225201,343,Álex Berenguer,M,82,84,77,79,84,65
236703,344,David Raum,M,82,86,61,80,79,74
197445,345,David Alaba,M,82,68,71,82,79,82
215316,346,Gerónimo Rulli,M,82,82,77,80,83,54
260908,348,Milos Kerkez,M,82,87,59,75,78,77
240091,349,Guglielmo Vicario,M,82,83,78,78,84,52
226226,350,Giovani Lo Celso,M,82,68,81,82,84,68
224987,353,Ivan Provedel,M,82,83,79,80,84,42
236015,356,Morgan Gibbs-White,M,82,75,77,82,84,60
227647,358,Maximilian Mittelstädt,M,82,81,62,77,77,78
272449,360,Pablo Barrios,M,82,80,70,74,80,74
192984,361,Koen Casteels,M,82,82,79,74,85,45
225116,365,Alex Meret,M,82,81,79,74,85,44
216267,367,Andrew Robertson,M,82,74,61,80,77,79
220793,368,Davinson Sánchez,M,82,82,58,63,73,82
222737,369,Malcom,M,82,89,78,79,84,43
209981,371,Yassine Bounou,M,82,81,82,76,85,38
229348,372,Antonee Robinson,M,82,88,46,75,77,78
255565,373,Kaoru Mitoma,M,82,87,73,76,86,57
229188,376,Vangelis Pavlidis,M,82,79,82,71,80,47
209499,378,Fabinho,M,82,53,69,78,77,81
233556,379,Riccardo Orsolini,M,82,79,81,79,83,49
264453,380,Micky van de Ven,M,82,90,49,64,72,82
222492,383,Leroy Sané,M,82,87,81,78,85,37
227678,384,Ezri Konsa,M,82,75,53,71,75,84
251470,385,Charles De Ketelaere,M,82,70,79,80,83,56
251805,386,Jurriën Timber,M,82,76,48,72,77,82
244778,388,Trincão,M,82,80,80,79,84,40
206113,389,Serge Gnabry,M,82,79,83,78,84,43
244257,390,Jonathan Burkardt,M,82,83,82,67,81,44
210047,392,Fabian Schär,M,82,51,68,76,73,84
213648,393,Pierre-Emile Højbjerg,M,82,49,73,78,74,78
235790,395,Kai Havertz,M,82,72,79,78,81,48
278349,397,Dean Huijsen,M,82,71,55,73,74,82
216547,398,Rafa,M,82,89,75,78,85,48
230142,399,Oyarzabal,M,82,77,83,81,82,42
237681,400,Takefusa Kubo,M,82,86,77,78,85,40
183898,403,Ángel Di María,M,82,73,80,85,85,43
192318,404,Mario Götze,M,82,60,75,85,85,56
210935,405,Domenico Berardi,M,82,82,80,79,84,35
236461,406,Jean-Philippe Mateta,M,82,75,84,70,77,41
203574,407,John Stones,M,82,64,58,74,75,84
229237,408,Manuel Akanji,M,82,74,48,69,73,82
243630,409,Jonathan David,M,82,81,82,71,80,34
246147,410,Mason Greenwood,M,82,83,83,77,83,37
189513,411,Parejo,M,82,39,80,87,78,74
231416,415,Dodi Lukébakio,M,82,87,81,76,83,31
232639,417,Ritsu Doan,M,82,82,71,78,85,41
234824,419,Yoane Wissa,M,82,85,82,70,80,31
246430,420,Dušan Vlahović,M,82,78,84,69,77,29
229476,423,Waldemar Anton,M,82,69,47,67,66,84
235243,424,Matthijs de Ligt,M,82,62,61,62,67,82
201024,426,Kalidou Koulibaly,M,82,74,48,62,65,82
235410,427,Youssef En-Nesyri,M,82,79,81,65,75,35
278046,429,Pau Cubarsí,M,82,70,42,66,77,84
215333,430,Duván Zapata,M,82,74,81,64,77,35
192366,431,Nicolás Otamendi,M,82,60,57,64,62,83
241159,432,Marc Guéhi,M,82,69,39,69,73,83
200724,433,Nacho Fernández,M,82,73,37,68,71,82
207862,434,Matthias Ginter,M,82,55,58,71,66,85
231410,435,Brahim,M,82,82,74,79,85,31
243241,436,Alessandro Buongiorno,M,82,69,45,67,65,84
212218,438,Aymeric Laporte,M,82,51,50,74,70,83
232488,439,Cristian Romero,M,82,66,48,62,65,83
270409,441,Savinho,M,82,87,71,78,86,30
236532,442,Robin Koch,M,82,66,44,63,66,83
188335,443,Ante Budimir,M,82,59,84,63,76,35
192123,444,Chris Wood,M,82,53,83,68,72,40
247257,445,Ibañez,M,82,87,32,47,61,83
237086,447,Kim Min Jae,M,82,73,33,58,63,83
210413,448,Alessio Romagnoli,M,82,64,40,55,69,84
251809,449,Sven Botman,M,82,56,37,62,65,83
247246,450,Khéphren Thuram,M,81,78,76,77,80,81
238216,451,Conor Gallagher,M,81,75,76,80,78,79
238074,452,Reece James,M,81,76,71,82,77,81
208574,454,Filip Kostić,M,81,82,76,81,80,70
202648,456,Sergi Darder,M,81,77,76,81,80,73
210881,457,John McGinn,M,81,69,77,78,80,77
239807,459,Davide Frattesi,M,81,82,77,78,82,73
235840,461,Michele Di Gregorio,M,81,82,78,79,85,56
258648,463,Carlos Augusto,M,81,78,72,77,79,79
261865,464,Miguel Gutiérrez,M,81,81,71,79,81,76
228618,465,Ferland Mendy,M,81,85,64,74,75,78
240679,466,Teun Koopmeiners,M,81,70,79,83,78,75
181458,469,Ivan Perišić,M,81,75,80,81,79,69
234060,471,Yangel Herrera,M,81,65,76,77,79,80
272500,472,Carlos Baleba,M,81,74,70,75,80,79
219683,473,Corentin Tolisso,M,81,68,78,78,76,77
208418,478,Yannick Carrasco,M,81,87,80,77,85,58
233306,479,Dean Henderson,M,81,82,78,77,82,55
237646,481,Daniel Muñoz,M,81,75,69,72,76,79
208461,482,Marten de Roon,M,81,61,74,77,76,83
216352,483,Marcelo Brozović,M,81,63,73,78,79,78
235944,484,Brais Méndez,M,81,70,80,82,81,65
259516,485,Johnny Cardoso,M,81,72,67,76,78,80
223885,487,Alexander Nübel,M,81,81,76,84,82,48
206085,488,Jacob Murphy,M,81,82,77,78,80,61
193747,494,Koke,M,81,61,72,83,78,76
212242,495,Robert Andrich,M,81,57,77,76,73,83
245630,498,Youssouf Fofana,M,81,68,68,75,78,79
242641,499,Rayan Aït-Nouri,M,81,84,53,76,84,77
211688,501,Gayà,M,81,80,61,76,77,77
251566,502,Gabriel Martinelli,M,81,90,77,75,83,46
253396,503,Giuliano Simeone,M,81,91,73,72,81,45
188943,504,Kevin Trapp,M,81,82,80,74,84,46
212523,505,Anderson Talisca,M,81,76,86,80,81,45
225309,506,Nadiem Amiri,M,81,65,79,82,82,62
203841,513,Nick Pope,M,81,81,81,68,82,49
212228,514,Ivan Toney,M,81,78,82,71,75,51
223952,516,David Soria,M,81,81,79,74,82,41
235805,517,Federico Chiesa,M,81,87,80,75,83,44
239301,518,Lisandro Martínez,M,81,67,59,75,75,81
239482,520,Galeno,M,81,93,75,71,83,45
243952,521,Andriy Lunin,M,81,80,78,79,82,37
255475,522,Antony,M,81,84,78,78,83,43
184392,523,Matteo Darmian,M,81,71,62,74,76,81
216409,524,Matteo Politano,M,81,80,78,80,83,59
230670,525,Lucas Perri,M,81,80,79,79,82,35
202024,527,Remo Freuler,M,81,58,72,76,77,77
213516,528,Ricardo Horta,M,81,78,81,81,82,43
208093,530,Gerard Moreno,M,81,77,82,77,80,46
210385,531,Rui Silva,M,81,82,78,77,84,31
222509,532,Dani Ceballos,M,81,61,71,80,82,72
247263,535,Edmond Tapsoba,M,81,75,56,68,70,82
251852,536,Karim Adeyemi,M,81,96,76,72,82,36
257470,537,Anthony Elanga,M,81,92,72,76,82,39
190941,539,Lukáš Hrádecký,M,81,83,79,64,83,40
236632,540,David Neres,M,81,86,76,75,86,46
236403,541,Evan Ndicka,M,81,74,53,69,69,81
232498,543,Isi,M,81,84,77,80,82,39
210676,545,Wladimiro Falcone,M,81,83,81,75,84,27
220814,546,Lucas Hernández,M,81,71,54,72,70,82
237679,547,Randal Kolo Muani,M,81,90,79,71,80,38
201153,548,Morata,M,81,78,81,74,80,31
257179,551,Gonçalo Inácio,M,81,77,37,71,73,82
242835,554,Leonardo Balerdi,M,81,77,46,65,69,82
216354,556,Andrej Kramarić,M,81,67,82,78,84,33
232411,557,Christopher Nkunku,M,81,77,79,80,82,40
243854,558,Mohamed Simakan,M,81,76,43,65,69,82
200888,559,Danilo Pereira,M,81,47,64,68,71,82
264309,560,Arda Güler,M,81,70,77,83,83,52
188567,561,Pierre-Emerick Aubameyang,M,81,82,83,72,78,36
214096,562,Tim Kleindienst,M,81,67,82,62,70,45
231652,563,Simon Banza,M,81,79,81,62,77,36
244749,564,Nayef Aguerd,M,81,72,50,67,65,82
247679,565,Victor Boniface,M,81,67,83,66,80,38
201399,566,Mauro Icardi,M,81,67,82,71,76,40
232756,567,Fikayo Tomori,M,81,81,40,60,67,82
212190,568,Niklas Süle,M,81,61,51,68,67,81
251570,569,Rayan Cherki,M,81,75,75,80,88,21
180930,571,Edin Džeko,M,81,55,82,74,77,40
232363,572,Milan Škriniar,M,81,57,52,60,65,83
228805,577,Raíllo,M,81,41,36,59,62,83
263205,578,Barış Alper Yılmaz,M,80,93,77,72,79,69
213666,579,Ruben Loftus-Cheek,M,80,81,76,79,80,76
230938,580,Franck Yannick Kessié,M,80,78,77,73,78,78
251806,581,Quinten Timber,M,80,77,78,76,80,74
204923,582,Marcel Sabitzer,M,80,74,80,80,80,76
226753,583,André Onana,M,80,81,75,85,83,61
231913,584,Fredrik Aursnes,M,80,74,71,78,80,77
226754,585,Ismaël Bennacer,M,80,76,72,80,83,76
209297,587,Fred,M,80,77,71,78,82,76
228251,589,Lorenzo Pellegrini,M,80,75,77,80,80,73
251479,590,Maxim De Cuyper,M,80,76,73,80,79,75
259583,591,Destiny Udogie,M,80,88,64,73,78,76
245155,592,Mohammed Kudus,M,80,89,76,72,86,60
268889,593,Álvaro Carreras,M,80,85,65,75,79,73
270571,595,Gabriel Sara,M,80,74,74,83,79,68
270673,596,Warren Zaïre-Emery,M,80,79,68,76,79,75
232665,597,Mauro Arambarri,M,80,65,79,76,77,79
242434,598,Curtis Jones,M,80,74,74,76,82,72
254243,599,Elliot Anderson,M,80,71,68,79,81,77
233927,601,Lucas Paquetá,M,80,68,78,78,84,69
259694,602,Mingueza,M,80,80,66,77,77,76
273018,604,Andrey Santos,M,80,74,69,74,78,77
204883,605,Brice Samba,M,80,78,80,80,80,53
224656,607,Ola Aina,M,80,88,63,71,75,78
239093,608,Jonathan Clauss,M,80,85,69,76,78,73
192563,609,Bernd Leno,M,80,80,79,76,81,53
223697,610,Robin Gosens,M,80,72,74,73,76,77
236499,611,Douglas Luiz,M,80,67,75,82,80,75
259913,613,Georgiy Sudakov,M,80,81,77,78,81,60
209889,614,Raphaël Guerreiro,M,80,69,78,85,88,74
223273,615,Mario Pašalić,M,80,69,78,77,81,67
236401,616,Noussair Mazraoui,M,80,75,66,76,80,77
241671,617,Dominik Livaković,M,80,80,76,71,83,56
252802,619,Wilfried Singo,M,80,80,59,70,73,79
226300,621,Uğurcan Çakır,M,80,81,76,74,79,54
233195,622,Xaver Schlager,M,80,69,70,74,78,75
200458,625,Lucas Digne,M,80,69,68,79,76,77
210406,626,Piotr Zieliński,M,80,76,76,80,82,70
186345,628,Kieran Trippier,M,80,66,65,83,77,80
205157,629,Ruiz de Galarreta,M,80,69,65,77,79,76
250753,630,Anatoliy Trubin,M,80,77,76,77,84,45
225126,635,Ellyes Skhiri,M,80,64,73,74,75,80
227535,636,Rodrigo Bentancur,M,80,64,68,78,79,78
208268,638,Bryan Cristante,M,80,52,74,78,75,78
231591,640,Javi Galán,M,80,78,56,75,79,77
213655,641,Alex Iwobi,M,80,76,74,77,81,56
241508,642,Mikkel Damsgaard,M,80,68,73,82,81,66
266127,644,Lewis Hall,M,80,77,62,78,79,77
201269,645,Frederik Rønnow,M,80,80,80,69,82,47
264697,646,Mohamed Amoura,M,80,90,81,71,86,47
73562,649,Bento,M,80,79,76,77,83,39
220876,650,Franck Honorat,M,80,84,78,79,78,53
234579,653,Julian Quiñones,M,80,88,79,70,79,36
190765,654,Pascal Groß,M,80,48,75,84,79,72
254796,655,Noni Madueke,M,80,88,75,74,83,45
206517,657,Jack Grealish,M,80,72,76,80,85,53
228579,658,Benjamin Henrichs,M,80,73,54,76,78,78
262118,659,Tino Livramento,M,80,82,51,72,78,76
239380,660,Noa Lang,M,80,80,77,73,84,50
260592,661,Benjamin Šeško,M,80,83,80,65,78,46
269626,663,Đorđe Petrović,M,80,80,78,73,82,41
238616,666,Pedro Neto,M,80,91,76,74,82,40
241236,667,Antoine Semenyo,M,80,80,78,73,81,40
190674,670,Benjamin André,M,80,55,64,73,76,79
225953,671,Steven Bergwijn,M,80,80,78,76,84,41
230666,672,Gabriel Jesus,M,80,81,79,74,86,39
234742,673,Harvey Barnes,M,80,83,80,75,81,43
229880,677,Aaron Wan-Bissaka,M,80,80,51,69,77,78
255654,678,Pierre Kalulu,M,80,80,53,68,70,81
237712,679,Valentin Castellanos,M,80,75,80,71,81,45
226110,682,Nicolas Pépé,M,80,88,77,76,82,36
246242,683,Boulaye Dia,M,80,84,81,67,78,43
229668,684,Mario Hermoso,M,80,72,49,73,71,80
234642,685,Édouard Mendy,M,80,78,77,75,81,34
238900,686,Ermedin Demirović,M,80,72,81,73,78,42
241727,687,Predrag Rajković,M,80,78,78,76,84,29
243586,688,Ayoub El Kaabi,M,80,82,82,62,75,46
259197,689,Nicolas Jackson,M,80,82,77,69,79,40
200155,691,Hans Vanaken,M,80,45,79,84,77,60
277179,692,Fermín,M,80,74,75,75,82,62
231677,693,Marcus Rashford,M,80,87,82,77,80,33
256948,694,Christos Tzolis,M,80,78,77,75,83,38
203980,696,Konstantinos Fortounis,M,80,73,77,82,80,43
246420,697,Jérémy Doku,M,80,91,71,72,87,32
271400,698,Igor Paixão,M,80,83,80,75,81,32
235149,699,Jerdy Schouten,M,80,60,59,72,76,80
256903,700,Gonçalo Ramos,M,80,73,79,64,77,48
225539,703,Dominic Solanke,M,80,71,80,66,77,42
189596,705,Thomas Müller,M,80,59,79,82,78,55
212096,706,Vincenzo Grifo,M,80,70,76,82,81,43
243593,707,Armand Laurienté,M,80,91,77,74,83,36
210697,708,Christian Nørgaard,M,80,49,65,74,71,79
262859,709,Levi Colwill,M,80,70,43,71,72,81
264862,712,Maghnes Akliouche,M,80,74,70,78,83,48
220834,713,Marco Asensio,M,80,70,78,81,82,43
258580,714,Kerem Aktürkoğlu,M,80,85,75,74,81,41
258908,715,Jan Paul van Hecke,M,80,67,46,72,70,80
216447,716,Álvaro García,M,80,88,70,77,81,51
244176,717,Deniz Undav,M,80,66,82,74,80,33
246172,718,Samuel Chukwueze,M,80,88,74,74,83,36
262138,719,Castello Lukeba,M,80,72,43,68,73,81
200145,720,Casemiro,M,80,36,74,76,69,80
256612,721,Evanilson,M,80,76,79,66,77,37
229905,722,Abdülkerim Bardakcı,M,80,59,46,70,69,81
257278,723,Arthur Theate,M,80,67,40,70,71,80
233049,724,Jadon Sancho,M,80,79,73,77,87,35
241464,726,Pau Torres,M,80,67,41,75,69,82
242816,727,Riqui Puig,M,80,73,71,79,82,50
224179,728,Borja Iglesias,M,80,62,82,71,74,40
246875,729,Odilon Kossounou,M,80,80,32,64,67,81
234569,730,Florentino,M,80,55,47,65,73,81
259377,733,Yeremy Pino,M,80,77,73,78,81,38
189511,734,Sergio Busquets,M,80,35,61,76,77,77
266872,735,Federico Gatti,M,80,76,42,53,65,81
212602,736,Diego Llorente,M,80,64,41,63,69,81
270531,738,Ousmane Diomande,M,80,80,26,51,70,79
220440,739,Clément Lenglet,M,80,54,45,69,64,82
203263,741,Harry Maguire,M,80,35,57,70,65,80
269493,742,Alexsandro,M,80,66,40,63,59,80
213661,743,Andreas Christensen,M,80,64,32,67,70,81
202695,745,James Tarkowski,M,80,45,47,64,59,81
189881,747,Chris Smalling,M,80,45,47,57,59,83
262881,748,Richard Ríos,M,79,81,70,77,82,72
211093,750,Callum McGregor,M,79,77,76,78,80,72
246321,751,Daizen Maeda,M,79,92,79,70,76,65
250723,752,Kouadio Manu Koné,M,79,74,74,75,81,74
251377,753,Rodrigo Zalazar,M,79,80,81,79,78,67
253124,754,Matheus Nunes,M,79,85,70,76,79,73
212811,755,Mario Lemina,M,79,79,67,75,76,78
227890,756,Nuno Santos,M,79,79,81,76,79,69
183512,757,Yuri Berchiche,M,79,79,68,74,75,77
234574,758,Diogo Dalot,M,79,85,63,74,77,76
